JobID,JobName,Partition,State,Reason,ExitCode,SystemComment,Priority,Timelimit,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
501378_12.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T13:21:47,15:18:40,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-03
501378_13,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T16:42:18,18:39:11,35Gn,,,,16:05:41,sablab-gpu-02
501378_13.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T16:42:18,18:39:11,35Gn,35.02G,60.78G,0.00G,16:05:41,sablab-gpu-02
501378_13.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T16:42:18,18:39:11,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-02
501397_14,PuddinPcc,gpu,FAILED,None,9:0,,9371,3-00:00:00,2022-04-12T22:11:52,2022-04-12T22:12:15,2022-04-13T03:45:08,05:32:53,35Gn,,,,03:11:31,nikola-compute-03
501397_14.batch,batch,,FAILED,,9:0,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T03:45:08,05:32:53,35Gn,32.08G,181.85G,0.00G,03:11:31,nikola-compute-03
501397_14.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T03:45:08,05:32:53,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501397_15,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,9371,3-00:00:00,2022-04-12T22:11:52,2022-04-12T22:12:15,2022-04-13T23:47:32,1-01:35:17,35Gn,,,,23:32:18,hariharan-compute-02
501397_15.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T23:47:32,1-01:35:17,35Gn,35.10G,66.30G,0.00G,23:32:18,hariharan-compute-02
501397_15.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T23:47:32,1-01:35:17,35Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
501397_16,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,9371,3-00:00:00,2022-04-12T22:11:52,2022-04-12T22:12:15,2022-04-13T15:29:01,17:16:46,35Gn,,,,14:57:58,hariharan-compute-02
501397_16.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T15:29:01,17:16:46,35Gn,34.03G,55.16G,0.00G,14:57:58,hariharan-compute-02
501397_16.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T15:29:01,17:16:46,35Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
501397_17,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,9371,3-00:00:00,2022-04-12T22:11:52,2022-04-12T22:12:15,2022-04-13T05:19:18,07:07:03,35Gn,,,,04:41:25,sablab-gpu-02
501397_17.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T05:19:18,07:07:03,35Gn,35.06G,53.57G,0.00G,04:41:25,sablab-gpu-02
501397_17.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:12:15,2022-04-12T22:12:15,2022-04-13T05:19:18,07:07:03,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-02
501397_18,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9337,3-00:00:00,2022-04-12T22:11:52,2022-04-13T03:45:16,2022-04-13T04:40:43,00:55:27,35Gn,,,,37:04.430,nikola-compute-03
501397_18.batch,batch,,FAILED,,9:0,,,,2022-04-13T03:45:16,2022-04-13T03:45:16,2022-04-13T04:40:43,00:55:27,35Gn,23.20G,173.29G,0.00G,37:04.428,nikola-compute-03
501397_18.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T03:45:16,2022-04-13T03:45:16,2022-04-13T04:40:43,00:55:27,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_19,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9340,3-00:00:00,2022-04-12T22:11:52,2022-04-13T04:40:48,2022-04-13T04:51:08,00:10:20,35Gn,,,,06:43.340,nikola-compute-03
501397_19.batch,batch,,FAILED,,9:0,,,,2022-04-13T04:40:48,2022-04-13T04:40:48,2022-04-13T04:51:08,00:10:20,35Gn,14.70G,164.62G,0.00G,06:43.338,nikola-compute-03
501397_19.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T04:40:48,2022-04-13T04:40:48,2022-04-13T04:51:08,00:10:20,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_20,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9341,3-00:00:00,2022-04-12T22:11:52,2022-04-13T04:51:18,2022-04-13T05:26:04,00:34:46,35Gn,,,,29:55.259,nikola-compute-03
501397_20.batch,batch,,FAILED,,9:0,,,,2022-04-13T04:51:18,2022-04-13T04:51:18,2022-04-13T05:26:04,00:34:46,35Gn,21.47G,172.19G,0.00G,29:55.257,nikola-compute-03
501397_20.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T04:51:18,2022-04-13T04:51:18,2022-04-13T05:26:04,00:34:46,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_21,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9342,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:19:18,2022-04-13T05:37:12,00:17:54,35Gn,,,,10:04.518,nikola-compute-03
501397_21.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:19:18,2022-04-13T05:19:18,2022-04-13T05:37:12,00:17:54,35Gn,20.56G,170.66G,0.00G,10:04.517,nikola-compute-03
501397_21.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:19:18,2022-04-13T05:19:18,2022-04-13T05:37:12,00:17:54,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501397_22,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9342,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:26:18,2022-04-13T05:44:34,00:18:16,35Gn,,,,08:36.024,nikola-compute-03
501397_22.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:26:18,2022-04-13T05:26:18,2022-04-13T05:44:34,00:18:16,35Gn,20.63G,170.72G,0.00G,08:36.022,nikola-compute-03
501397_22.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:26:18,2022-04-13T05:26:18,2022-04-13T05:44:34,00:18:16,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_23,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9343,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:37:18,2022-04-13T05:52:20,00:15:02,35Gn,,,,07:33.283,nikola-compute-03
501397_23.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:37:18,2022-04-13T05:37:18,2022-04-13T05:52:20,00:15:02,35Gn,14.29G,164.37G,0.00G,07:33.281,nikola-compute-03
501397_23.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:37:18,2022-04-13T05:37:18,2022-04-13T05:52:20,00:15:02,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_24,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9343,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:44:48,2022-04-13T05:59:44,00:14:56,35Gn,,,,07:32.531,nikola-compute-03
501397_24.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:44:48,2022-04-13T05:44:48,2022-04-13T05:59:44,00:14:56,35Gn,14.32G,164.41G,0.00G,07:32.529,nikola-compute-03
501397_24.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:44:48,2022-04-13T05:44:48,2022-04-13T05:59:44,00:14:56,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_25,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9344,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:52:48,2022-04-13T06:07:45,00:14:57,35Gn,,,,07:28.837,nikola-compute-03
501397_25.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:52:48,2022-04-13T05:52:48,2022-04-13T06:07:45,00:14:57,35Gn,14.21G,164.30G,0.00G,07:28.834,nikola-compute-03
501397_25.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:52:48,2022-04-13T05:52:48,2022-04-13T06:07:45,00:14:57,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_26,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9344,3-00:00:00,2022-04-12T22:11:52,2022-04-13T05:59:48,2022-04-13T06:14:47,00:14:59,35Gn,,,,07:27.692,nikola-compute-03
501397_26.batch,batch,,FAILED,,9:0,,,,2022-04-13T05:59:48,2022-04-13T05:59:48,2022-04-13T06:14:47,00:14:59,35Gn,14.23G,164.31G,0.00G,07:27.690,nikola-compute-03
501397_26.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T05:59:48,2022-04-13T05:59:48,2022-04-13T06:14:47,00:14:59,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501397_27,PuddinPcc,gpu,FAILED,JobArrayTaskLimit,9:0,,9371,3-00:00:00,2022-04-12T22:11:52,2022-04-13T06:07:48,2022-04-13T06:28:54,00:21:06,35Gn,,,,15:10.574,nikola-compute-03
501397_27.batch,batch,,FAILED,,9:0,,,,2022-04-13T06:07:48,2022-04-13T06:07:48,2022-04-13T06:28:54,00:21:06,35Gn,20.58G,170.67G,0.00G,15:10.571,nikola-compute-03
501397_27.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T06:07:48,2022-04-13T06:07:48,2022-04-13T06:28:54,00:21:06,35Gn,0.00G,0.08G,0.00G,00:00.002,nikola-compute-03
501422_30,PuddinPcc,gpu,FAILED,Prolog,1:0,,18371,1-00:00:00,2022-04-12T22:51:14,2022-04-12T22:51:15,2022-04-13T00:31:55,01:40:40,35Gn,,,,01:23:51,harpo
501422_30.batch,batch,,FAILED,,1:0,,,,2022-04-12T22:51:15,2022-04-12T22:51:15,2022-04-13T00:31:55,01:40:40,35Gn,4.14G,25.46G,0.00G,01:23:51,harpo
501422_30.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:51:15,2022-04-12T22:51:15,2022-04-13T00:31:55,01:40:40,35Gn,0.00G,0.08G,0,00:00.002,harpo
501378_8,PuddinPcc,gpu,FAILED,BeginTime,1:0,,18871,1-00:00:00,2022-04-13T15:08:46,2022-04-13T15:10:48,2022-04-13T15:11:29,00:00:41,35Gn,,,,00:10.589,nikola-compute-04
501378_8.batch,batch,,FAILED,,1:0,,,,2022-04-13T15:10:48,2022-04-13T15:10:48,2022-04-13T15:11:29,00:00:41,35Gn,0.93G,11.22G,0.00G,00:10.587,nikola-compute-04
501378_8.extern,extern,,COMPLETED,,0:0,,,,2022-04-13T15:10:48,2022-04-13T15:10:48,2022-04-13T15:11:29,00:00:41,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-04
